Испытание 1
Speed;Power
3174.14;8.59
3055.31;8.37
3171.25;8.79
3002.53;8.77
3013.58;8.75
3040.58;9.25
3176.68;9.26
3015.14;9.62
3045.18;8.81
2950.81;8.89
2999.97;9.19
2883.94;9.50
2980.78;9.38
3027.74;9.67
3034.04;9.36
2883.34;9.41
2946.13;10.12
3003.00;10.12
2998.13;9.34
3139.70;9.34
3100.43;10.01
2969.44;10.17
3045.01;10.28
2930.97;9.38
3011.23;9.87
2933.58;9.88
3093.69;9.48
3107.95;9.73
3029.07;9.87
3058.50;9.95
3083.48;9.78
2977.79;10.25

Испытание 5
Speed;Power
3655.47;0.00
3643.76;0.97
3588.69;1.89
3389.27;2.51
3471.78;3.35
3550.38;4.02
3504.42;4.29
3262.97;4.85
3357.91;5.46
3275.70;5.87
3197.01;6.43
3246.92;6.92
3288.45;6.74
3131.08;7.58
3087.60;7.73
3097.86;8.15
3013.81;7.87
3056.37;7.97
3241.06;8.03
3053.76;8.63
2969.00;8.31
3211.94;8.92
3167.18;8.69
3196.90;8.96
3005.38;9.13
3158.64;9.08
3189.97;9.62
3084.73;9.58
3025.81;9.32
3073.68;9.84
3064.17;9.97
3064.09;9.23
3153.58;9.76
2883.34;9.80
3014.12;9.79
3031.69;9.38
3105.26;9.74
2866.76;9.32
3049.19;9.68
3133.67;10.15
2886.90;9.34
3108.61;10.13
3142.17;9.85
3002.79;10.03
3089.19;9.40
3014.73;9.77
2902.80;10.27
2995.39;9.41
2873.11;10.12
3073.95;9.97

Испытание 6
Speed;Power
3770.45;0.00
3699.38;0.95
3498.62;1.84
3371.86;2.48
3365.28;3.23
3249.99;3.93
3193.93;4.65
3251.34;5.07
3430.33;5.33
3380.15;5.82
3287.71;6.37
3308.03;6.91
3269.28;6.94
3232.75;7.07
3264.58;7.28
3198.50;7.46
3096.79;8.00
3251.29;7.83
3099.68;8.71
3231.95;8.23
3199.13;8.81
3084.22;8.81
3222.55;9.22
2962.48;9.30
2921.31;8.67
3030.45;9.30
2965.97;9.23
3046.73;9.71
2972.66;8.93
3082.82;9.09
2962.62;9.84
2939.92;9.92
2885.76;9.48
2921.16;9.66
3026.22;9.46
3039.26;9.70
3099.24;10.21
2930.11;9.71
3064.28;9.47
3005.62;9.73
2874.86;9.42
3037.87;9.61
2890.86;9.87
3117.14;9.61
3158.38;9.58
3001.21;9.63
2928.36;10.28
2990.88;9.71
3051.93;9.89
2878.64;10.32
3050.95;10.18

Испытание 7
Speed;Power
3502.17;0.00
3485.88;0.95
3625.78;1.75
3310.94;2.65
3432.27;3.30
3397.64;3.77
3304.70;4.35
3375.94;4.99
3297.00;5.32
3174.25;5.74
3195.16;6.40
3333.54;6.75
3237.12;7.33
3283.40;7.28
3120.63;7.50
3232.95;7.98
3145.19;8.07
3151.37;7.80
3090.25;8.34
3148.22;8.53
3188.24;8.35
3042.56;8.82
3157.96;9.12
3109.55;9.45
2977.85;9.06
2906.74;9.00
3045.18;9.45
3008.64;9.78
2943.74;9.16
2926.44;9.68
3015.65;9.24
3026.22;9.33
3053.71;9.25
2987.66;9.28
3153.11;9.90
2953.18;9.57
3120.35;10.06
2890.89;9.52
2955.73;9.46
3126.12;9.56
2942.61;10.08
2893.33;9.86
3118.08;9.93
2990.75;9.90
3024.51;10.25
3119.98;10.28
3062.14;9.43
3072.03;9.52
3069.95;9.96
3019.85;10.36

Испытание 8
Speed;Power
3730.30;0.00
3487.68;0.95
3548.07;1.86
3356.20;2.55
3528.47;3.33
3300.90;3.88
3276.17;4.73
3454.03;5.27
3265.73;5.76
3207.15;5.82
3316.86;6.13
3222.80;6.74
3138.25;6.73
3221.63;7.21
3054.42;7.81
3055.40;7.65
3001.29;7.81
3266.88;8.57
2995.58;8.64
2947.00;8.50
3191.32;8.87
2930.16;8.35
3067.34;8.54
3068.17;9.23
3078.79;8.73
2958.65;8.92
3013.17;9.36
2966.03;9.50
2992.37;9.67
3061.53;9.42
2971.68;9.61
3067.12;9.29
2956.86;9.30
2942.30;9.39
3106.28;10.14
3150.96;9.24
3127.89;10.15
3097.49;10.21
2961.77;10.27
3099.02;9.70
2939.61;9.73
2882.80;9.80
3069.93;9.77
3106.60;10.26
3065.12;10.04
3034.28;10.13
2996.00;9.74
3148.69;9.69
3068.46;9.75
2871.12;9.73

Испытание 9
Speed;Power
3502.17;0.00
3464.35;0.91
3390.89;1.84
3309.20;2.62
3330.92;3.36
3260.17;3.89
3408.76;4.60
3229.74;5.20
3349.67;5.24
3396.47;5.85
3232.64;6.60
3311.25;6.75
3285.26;6.89
3281.99;7.03
3310.40;7.71
3132.45;7.82
3215.78;7.69
3215.43;8.47
3056.17;8.04
3115.80;8.73
3111.13;8.72
2951.79;9.00
3162.65;8.83
3111.15;9.43
2912.14;8.95
3002.97;9.49
3065.04;9.08
3139.56;9.43
3191.50;9.21
2991.75;9.13
3032.36;9.08
2909.63;9.45
3096.10;9.31
3079.92;9.91
3050.40;9.98
2959.24;9.79
3075.10;9.65
3007.02;10.19
2896.97;9.71
2945.36;9.49
3094.73;9.49
2917.44;9.57
2949.55;10.22
2917.05;9.80
3044.08;9.65
3109.47;9.48
3086.21;9.43
3130.66;10.20
3074.47;9.42
3155.08;10.28
3117.04;9.49

Испытание 10
Speed;Power
3673.72;0.00
3686.82;1.00
3357.33;1.80
3370.12;2.69
3504.42;3.15
3395.94;3.97
3393.65;4.29
3402.53;4.86
3410.58;5.28
3107.59;5.69
3259.94;6.28
3359.27;6.48
3051.78;7.17
3105.49;6.95
3174.35;7.35
3264.40;8.08
3198.42;7.63
3184.12;8.22
3032.76;8.09
3100.22;8.51
3019.95;9.08
3170.36;8.78
2995.15;9.00
3039.05;8.87
3179.73;8.66
3048.72;9.22
3165.59;9.33
3026.90;9.21
3066.84;9.37
2934.03;9.61
3123.30;9.24
3108.01;9.53
2976.53;9.73
2877.29;9.94
2977.86;9.36
2935.06;9.32
2969.46;9.89
2955.73;9.95
2884.90;9.86
2912.19;9.94
2883.88;9.84
3152.26;10.13
3068.42;9.60
2882.43;9.99
2991.42;10.19
2947.06;9.67
2986.98;10.13
2881.16;9.48
3155.61;9.48
3006.33;10.18

