Испытание 1
Time;Speed
2.30;3068.17
2.40;3078.79
2.50;2958.65
2.60;3013.17
2.70;2966.03
2.80;2992.37
2.90;3061.53
3.00;2971.68
3.10;3067.12
3.20;2956.86
3.30;2942.30
3.40;3106.28
3.50;3150.96
3.60;3127.89
3.70;3097.49
3.80;2961.77
3.90;3099.02
4.00;2939.61
4.10;2882.80
4.20;3069.93
4.30;3106.60
4.40;3065.12
4.50;3034.28
4.60;2996.00
4.70;3148.69
4.80;3068.46
4.90;2871.12

Испытание 9
Time;Speed
0.00;3502.17
0.10;3464.35
0.20;3390.89
0.30;3309.20
0.40;3330.92
0.50;3260.17
0.60;3408.76
0.70;3229.74
0.80;3349.67
0.90;3396.47
1.00;3232.64
1.10;3311.25
1.20;3285.26
1.30;3281.99
1.40;3310.40
1.50;3132.45
1.60;3215.78
1.70;3215.43
1.80;3056.17
1.90;3115.80
2.00;3111.13
2.10;2951.79
2.20;3162.65
2.30;3111.15
2.40;2912.14
2.50;3002.97
2.60;3065.04
2.70;3139.56
2.80;3191.50
2.90;2991.75
3.00;3032.36
3.10;2909.63
3.20;3096.10
3.30;3079.92
3.40;3050.40
3.50;2959.24
3.60;3075.10
3.70;3007.02
3.80;2896.97
3.90;2945.36
4.00;3094.73
4.10;2917.44
4.20;2949.55
4.30;2917.05
4.40;3044.08
4.50;3109.47
4.60;3086.21
4.70;3130.66
4.80;3074.47
4.90;3155.08
5.00;3117.04

Испытание 10
Time;Speed
0.00;3673.72
0.10;3686.82
0.20;3357.33
0.30;3370.12
0.40;3504.42
0.50;3395.94
0.60;3393.65
0.70;3402.53
0.80;3410.58
0.90;3107.59
1.00;3259.94
1.10;3359.27
1.20;3051.78
1.30;3105.49
1.40;3174.35
1.50;3264.40
1.60;3198.42
1.70;3184.12
1.80;3032.76
1.90;3100.22
2.00;3019.95
2.10;3170.36
2.20;2995.15
2.30;3039.05
2.40;3179.73
2.50;3048.72
2.60;3165.59
2.70;3026.90
2.80;3066.84
2.90;2934.03
3.00;3123.30
3.10;3108.01
3.20;2976.53
3.30;2877.29
3.40;2977.86
3.50;2935.06
3.60;2969.46
3.70;2955.73
3.80;2884.90
3.90;2912.19
4.00;2883.88
4.10;3152.26
4.20;3068.42
4.30;2882.43
4.40;2991.42
4.50;2947.06
4.60;2986.98
4.70;2881.16
4.80;3155.61
4.90;3006.33

